Band,Capture,Stage,Used,ExclusionReason
250Hzto2.5kHz_80ms_10ms_div,ALL0001_F0001,LP,1,"usada"
250Hzto2.5kHz_80ms_10ms_div,ALL0001_F0001,LP_PGA,1,"usada"
250Hzto2.5kHz_80ms_10ms_div,ALL0002_F0002,BP,1,"usada"
250Hzto2.5kHz_80ms_10ms_div,ALL0002_F0002,COMP,1,"usada"
250Hzto2.5kHz_80ms_10ms_div,ALL0002_F0002,LP,1,"usada"
250Hzto2.5kHz_80ms_10ms_div,ALL0002_F0002,LP_PGA,1,"usada"
250Hzto2.5kHz_80ms_10ms_div,ALL0003_F0003,BP,1,"usada"
250Hzto2.5kHz_80ms_10ms_div,ALL0003_F0003,COMP,1,"usada"
250Hzto2.5kHz_80ms_10ms_div,ALL0003_F0003,LP,1,"usada"
250Hzto2.5kHz_80ms_10ms_div,ALL0003_F0003,LP_PGA,1,"usada"
250Hzto2.5kHz_80ms_10ms_div,ALL0004_F0004,BP,1,"usada"
250Hzto2.5kHz_80ms_10ms_div,ALL0004_F0004,COMP,1,"usada"
250Hzto2.5kHz_80ms_10ms_div,ALL0004_F0004,LP,1,"usada"
250Hzto2.5kHz_80ms_10ms_div,ALL0004_F0004,LP_PGA,1,"usada"
1kHzto10kHz_20ms_2.5ms_div,ALL0001_F0001,BP,0,"descartada por saturación de CH2"
1kHzto10kHz_20ms_2.5ms_div,ALL0001_F0001,COMP,0,"descartada por saturación de CH2"
1kHzto10kHz_20ms_2.5ms_div,ALL0001_F0001,LP,0,"descartada por saturación de CH2"
1kHzto10kHz_20ms_2.5ms_div,ALL0001_F0001,LP_PGA,0,"descartada por saturación de CH2"
1kHzto10kHz_20ms_2.5ms_div,ALL0002_F0002,BP,1,"usada"
1kHzto10kHz_20ms_2.5ms_div,ALL0002_F0002,COMP,1,"usada"
1kHzto10kHz_20ms_2.5ms_div,ALL0002_F0002,LP,1,"usada"
1kHzto10kHz_20ms_2.5ms_div,ALL0002_F0002,LP_PGA,1,"usada"
1kHzto10kHz_20ms_2.5ms_div,ALL0003_F0003,BP,1,"usada"
1kHzto10kHz_20ms_2.5ms_div,ALL0003_F0003,COMP,1,"usada"
1kHzto10kHz_20ms_2.5ms_div,ALL0003_F0003,LP,1,"usada"
1kHzto10kHz_20ms_2.5ms_div,ALL0003_F0003,LP_PGA,1,"usada"
1kHzto10kHz_20ms_2.5ms_div,ALL0004_F0004,BP,1,"usada"
1kHzto10kHz_20ms_2.5ms_div,ALL0004_F0004,COMP,1,"usada"
1kHzto10kHz_20ms_2.5ms_div,ALL0004_F0004,LP,1,"usada"
1kHzto10kHz_20ms_2.5ms_div,ALL0004_F0004,LP_PGA,1,"usada"
5kHzto50kHz_4ms_500us_div,ALL0001_F0001,BP,1,"usada"
5kHzto50kHz_4ms_500us_div,ALL0001_F0001,COMP,1,"usada"
5kHzto50kHz_4ms_500us_div,ALL0001_F0001,LP,1,"usada"
5kHzto50kHz_4ms_500us_div,ALL0001_F0001,LP_PGA,1,"usada"
5kHzto50kHz_4ms_500us_div,ALL0002_F0002,BP,1,"usada"
5kHzto50kHz_4ms_500us_div,ALL0002_F0002,COMP,1,"usada"
5kHzto50kHz_4ms_500us_div,ALL0002_F0002,LP,1,"usada"
5kHzto50kHz_4ms_500us_div,ALL0002_F0002,LP_PGA,1,"usada"
5kHzto50kHz_4ms_500us_div,ALL0003_F0003,BP,1,"usada"
5kHzto50kHz_4ms_500us_div,ALL0003_F0003,COMP,1,"usada"
5kHzto50kHz_4ms_500us_div,ALL0003_F0003,LP,1,"usada"
5kHzto50kHz_4ms_500us_div,ALL0003_F0003,LP_PGA,1,"usada"
5kHzto50kHz_4ms_500us_div,ALL0004_F0004,BP,1,"usada"
5kHzto50kHz_4ms_500us_div,ALL0004_F0004,COMP,1,"usada"
5kHzto50kHz_4ms_500us_div,ALL0004_F0004,LP,1,"usada"
5kHzto50kHz_4ms_500us_div,ALL0004_F0004,LP_PGA,1,"usada"
20kHzto200kHz_1ms_100us_div,ALL0000_F0000,BP,1,"usada"
20kHzto200kHz_1ms_100us_div,ALL0000_F0000,COMP,1,"usada"
20kHzto200kHz_1ms_100us_div,ALL0000_F0000,LP,1,"usada"
20kHzto200kHz_1ms_100us_div,ALL0000_F0000,LP_PGA,1,"usada"
20kHzto200kHz_1ms_100us_div,ALL0001_F0001,BP,1,"usada"
20kHzto200kHz_1ms_100us_div,ALL0001_F0001,COMP,1,"usada"
20kHzto200kHz_1ms_100us_div,ALL0001_F0001,LP,1,"usada"
20kHzto200kHz_1ms_100us_div,ALL0001_F0001,LP_PGA,1,"usada"
20kHzto200kHz_1ms_100us_div,ALL0002_F0002,BP,1,"usada"
20kHzto200kHz_1ms_100us_div,ALL0002_F0002,COMP,1,"usada"
20kHzto200kHz_1ms_100us_div,ALL0002_F0002,LP,1,"usada"
20kHzto200kHz_1ms_100us_div,ALL0002_F0002,LP_PGA,1,"usada"
20kHzto200kHz_1ms_100us_div,ALL0003_F0003,BP,1,"usada"
20kHzto200kHz_1ms_100us_div,ALL0003_F0003,COMP,1,"usada"
20kHzto200kHz_1ms_100us_div,ALL0003_F0003,LP,1,"usada"
20kHzto200kHz_1ms_100us_div,ALL0003_F0003,LP_PGA,1,"usada"
20kHzto200kHz_1ms_100us_div,ALL0004_F0004,BP,1,"usada"
20kHzto200kHz_1ms_100us_div,ALL0004_F0004,COMP,1,"usada"
20kHzto200kHz_1ms_100us_div,ALL0004_F0004,LP,1,"usada"
20kHzto200kHz_1ms_100us_div,ALL0004_F0004,LP_PGA,1,"usada"
